batter,bowler,balls,runs,dismissals,boundaries,strike_rate,dismissal_rate,boundary_rate,strike_rate_norm,boundary_rate_norm,dismissal_rate_temp,dismissal_rate_norm,batter_matchup_score,bowler_matchup_score
AC Gilchrist,DE Bollinger,13,8,1,1,61.53846153846154,0.07692307692307693,0.07692307692307693,0.11965811965811965,0.07692307692307693,0.17948717948717952,0.8205128205128205,0.2841880341880342,0.7158119658119658
AC Gilchrist,DJ Bravo,16,25,1,3,156.25,0.0625,0.1875,0.3038194444444444,0.1875,0.14583333333333334,0.8541666666666666,0.41232638888888884,0.5876736111111112
AC Gilchrist,DP Nannes,13,31,0,7,238.46153846153845,0.0,0.5384615384615384,0.4636752136752136,0.5384615384615384,0.0,1.0,0.6164529914529914,0.3835470085470086
AC Gilchrist,DS Kulkarni,6,8,0,2,133.33333333333331,0.0,0.3333333333333333,0.2592592592592592,0.3333333333333333,0.0,1.0,0.4629629629629629,0.5370370370370371
AC Gilchrist,DT Christian,12,27,1,5,225.0,0.08333333333333333,0.4166666666666667,0.43749999999999994,0.4166666666666667,0.19444444444444445,0.8055555555555556,0.5243055555555556,0.4756944444444444
AC Gilchrist,DW Steyn,34,27,0,3,79.41176470588235,0.0,0.08823529411764706,0.15441176470588233,0.08823529411764706,0.0,1.0,0.3492647058823529,0.6507352941176471
AC Gilchrist,Harbhajan Singh,9,4,2,0,44.44444444444444,0.2222222222222222,0.0,0.08641975308641973,0.0,0.5185185185185185,0.4814814814814815,0.16358024691358025,0.8364197530864197
AC Gilchrist,I Sharma,47,55,0,10,117.02127659574468,0.0,0.2127659574468085,0.2275413711583924,0.2127659574468085,0.0,1.0,0.4169621749408983,0.5830378250591017
AC Gilchrist,IK Pathan,20,40,2,9,200.0,0.1,0.45,0.38888888888888884,0.45,0.23333333333333336,0.7666666666666666,0.49861111111111106,0.5013888888888889
AC Gilchrist,J Botha,8,14,0,2,175.0,0.0,0.25,0.34027777777777773,0.25,0.0,1.0,0.48263888888888884,0.5173611111111112
